Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
SAI,81.661,1.0,1.0,,31.8,28.606,MEDIUM,Ferrari,False,2023,Austria
PER,108.071,1.0,1.0,,42.018,35.127,MEDIUM,Red Bull Racing,False,2023,United States
NOR,89.901,1.0,1.0,,31.302,23.736,MEDIUM,McLaren,False,2023,Hungary
TSU,139.969,1.0,1.0,,71.374,41.451,SOFT,AlphaTauri,False,2023,Brazil
GAS,110.115,1.0,1.0,,46.116,28.644,MEDIUM,Alpine,False,2023,Singapore
MAG,118.026,1.0,1.0,,19.134,59.285,MEDIUM,Haas F1 Team,False,2023,Australia
PER,93.068,1.0,1.0,,32.628,24.342,HARD,Red Bull Racing,False,2023,Hungary
BOT,104.154,1.0,1.0,,43.757,24.573,SOFT,Alfa Romeo,False,2023,Bahrain
SAR,125.189,1.0,1.0,,35.024,49.062,MEDIUM,Williams,False,2023,Qatar
PER,111.589,1.0,1.0,,46.76,28.971,HARD,Red Bull Racing,False,2023,Singapore
PER,113.295,1.0,1.0,,48.536,30.124,SOFT,Red Bull Racing,False,2023,Belgium
NOR,94.309,1.0,1.0,,38.613,34.209,MEDIUM,McLaren,False,2023,Abu Dhabi
MAG,91.308,1.0,1.0,,32.914,29.567,HARD,Haas F1 Team,False,2023,Austria
LEC,102.801,1.0,1.0,,29.565,38.556,SOFT,Ferrari,False,2023,Netherlands
PIA,90.74,1.0,1.0,,34.167,22.197,MEDIUM,McLaren,False,2023,Mexico
GAS,122.849,1.0,1.0,,51.767,30.53,SOFT,Alpine,False,2023,Belgium
TSU,90.844,1.0,1.0,,34.697,25.458,SOFT,AlphaTauri,False,2023,Spain
SAI,104.398,1.0,1.0,,40.842,34.524,MEDIUM,Ferrari,False,2023,United States
ALB,100.625,1.0,1.0,,40.189,35.489,MEDIUM,Williams,False,2023,Abu Dhabi
MAG,111.572,1.0,1.0,,41.501,35.029,MEDIUM,Haas F1 Team,False,2023,United States
HAM,102.288,1.0,1.0,,43.494,24.338,SOFT,Mercedes,False,2023,Bahrain
ALB,90.785,1.0,1.0,,30.961,28.839,MEDIUM,Williams,False,2023,Italy
SAR,95.924,1.0,1.0,,36.54,22.926,MEDIUM,Williams,False,2023,Mexico
ALB,106.373,1.0,1.0,,18.791,50.087,MEDIUM,Williams,False,2023,Australia
ZHO,129.967,1.0,1.0,,19.38,70.454,SOFT,Alfa Romeo,False,2023,Australia
SAI,104.398,1.0,1.0,,40.842,34.524,MEDIUM,Ferrari,False,2023,United States
NOR,118.297,1.0,1.0,,31.542,47.966,MEDIUM,McLaren,False,2023,Qatar
SAI,101.659,1.0,1.0,,43.409,24.19,SOFT,Ferrari,False,2023,Bahrain
LEC,104.544,1.0,1.0,,43.537,28.867,SOFT,Ferrari,False,2023,Singapore
GAS,91.543,1.0,1.0,,35.264,25.363,SOFT,Alpine,False,2023,Spain
LEC,114.584,1.0,1.0,,49.931,29.936,SOFT,Ferrari,False,2023,Belgium
NOR,101.712,1.0,1.0,,40.386,33.341,MEDIUM,McLaren,False,2023,United States
ALB,101.364,1.0,1.0,,39.814,26.347,MEDIUM,Williams,False,2023,Great Britain
TSU,119.555,1.0,1.0,,51.926,30.484,MEDIUM,AlphaTauri,False,2023,Belgium
HAM,115.21,1.0,1.0,,50.262,29.96,SOFT,Mercedes,False,2023,Belgium
BOT,93.64,1.0,1.0,,36.036,22.503,MEDIUM,Alfa Romeo,False,2023,Mexico
VER,77.639,1.0,1.0,,31.613,25.44,MEDIUM,Red Bull Racing,False,2023,Austria
TSU,113.776,1.0,1.0,,19.12,55.577,MEDIUM,AlphaTauri,False,2023,Australia
DEV,92.516,1.0,1.0,,27.366,32.403,MEDIUM,AlphaTauri,False,2023,Canada
OCO,107.31,1.0,1.0,,42.023,34.787,MEDIUM,Alpine,False,2023,United States
SAR,111.967,1.0,1.0,,43.494,35.176,MEDIUM,Williams,False,2023,United States
SAI,104.398,1.0,1.0,,40.842,34.524,MEDIUM,Ferrari,False,2023,United States
HAM,100.229,1.0,1.0,,18.733,45.558,MEDIUM,Mercedes,False,2023,Australia
GAS,96.636,1.0,1.0,,39.247,34.092,MEDIUM,Alpine,False,2023,Abu Dhabi
ZHO,108.467,1.0,1.0,,45.972,24.736,SOFT,Alfa Romeo,False,2023,Bahrain
TSU,91.317,1.0,1.0,,39.573,21.994,MEDIUM,AlphaTauri,False,2023,Monaco
TSU,103.165,1.0,1.0,,40.49,26.535,SOFT,AlphaTauri,False,2023,Great Britain
STR,139.493,1.0,1.0,,68.163,29.776,SOFT,Aston Martin,False,2023,Japan
PER,130.824,1.0,1.0,,59.375,31.834,MEDIUM,Red Bull Racing,False,2023,Japan
PIA,90.075,1.0,1.0,,34.839,24.987,SOFT,McLaren,False,2023,Spain
HUL,107.339,1.0,1.0,,45.924,24.741,SOFT,Haas F1 Team,False,2023,Bahrain
OCO,105.967,1.0,1.0,,45.213,24.698,SOFT,Alpine,False,2023,Bahrain
ALB,94.616,1.0,1.0,,41.843,21.357,MEDIUM,Williams,False,2023,Monaco
OCO,122.304,1.0,1.0,,18.778,65.009,SOFT,Alpine,False,2023,Australia
PIA,93.882,1.0,1.0,,38.531,34.296,MEDIUM,McLaren,False,2023,Abu Dhabi
MAG,96.466,1.0,1.0,,32.419,30.247,HARD,Haas F1 Team,False,2023,Italy
VER,108.811,1.0,1.0,,30.57,43.417,MEDIUM,Red Bull Racing,False,2023,Qatar
NOR,116.566,1.0,1.0,,19.112,58.183,MEDIUM,McLaren,False,2023,Australia
HUL,111.408,1.0,1.0,,18.831,53.661,MEDIUM,Haas F1 Team,False,2023,Australia
PIA,111.659,1.0,1.0,,30.716,44.641,MEDIUM,McLaren,False,2023,Qatar
HAM,104.701,1.0,1.0,,41.098,34.309,MEDIUM,Mercedes,False,2023,United States
MAG,109.33,1.0,1.0,,46.858,25.043,HARD,Haas F1 Team,False,2023,Bahrain
RUS,105.772,1.0,1.0,,43.702,28.566,MEDIUM,Mercedes,False,2023,Singapore
SAR,147.935,1.0,1.0,,71.572,45.328,MEDIUM,Williams,False,2023,Brazil
PIA,99.826,1.0,1.0,,33.737,42.528,MEDIUM,McLaren,False,2023,Austria
SAR,94.407,1.0,1.0,,32.159,29.492,MEDIUM,Williams,False,2023,Italy
NOR,105.364,1.0,1.0,,44.789,24.561,SOFT,McLaren,False,2023,Bahrain
HAM,90.539,1.0,1.0,,31.88,23.746,MEDIUM,Mercedes,False,2023,Hungary
PIA,87.463,1.0,1.0,,26.103,31.753,MEDIUM,McLaren,False,2023,Canada
BOT,174.634,1.0,1.0,,80.547,37.325,SOFT,Alfa Romeo,False,2023,Japan
DEV,103.684,1.0,1.0,,33.378,41.507,MEDIUM,AlphaTauri,False,2023,Austria
PIA,88.684,1.0,1.0,,30.676,23.689,MEDIUM,McLaren,False,2023,Hungary
HAM,124.866,1.0,1.0,,63.429,36.902,SOFT,Mercedes,False,2023,Brazil
LEC,95.79,1.0,1.0,,33.394,25.126,HARD,Ferrari,False,2023,Spain
ZHO,105.469,1.0,1.0,,29.945,39.176,SOFT,Alfa Romeo,False,2023,Netherlands
TSU,107.791,1.0,1.0,,45.884,24.925,SOFT,AlphaTauri,False,2023,Bahrain
DEV,104.444,1.0,1.0,,40.637,26.947,SOFT,AlphaTauri,False,2023,Great Britain
PIA,118.915,1.0,1.0,,19.695,59.494,MEDIUM,McLaren,False,2023,Australia
DEV,109.959,1.0,1.0,,46.835,25.179,SOFT,AlphaTauri,False,2023,Bahrain
